CTPS Code,CTPS Name,Customer Code,Domestic/International
010000, KETTLEHOUSE BREWING MT,537692,DOMESTIC
011075,VALLE REDONDO,497213,INTERNATIONAL
010001,10 BARREL BREWING,533085,DOMESTIC
010298,COCA COLA MOBILE,514159,DOMESTIC
010298,COCA COLA MOBILE,194520,DOMESTIC
010002,12 GATE BREWING,491575,DOMESTIC
010300,COCA COLA MONTGOMERY,503847,DOMESTIC
010300,COCA COLA MONTGOMERY,194781,DOMESTIC
010003,14ER BREWING,543507,DOMESTIC
010003,14ER BREWING,501041,DOMESTIC
010798,PEPSI CHEVERLY,30795,DOMESTIC
010581,KALIL BOTTLING TUCSON,35721,DOMESTIC
010581,KALIL BOTTLING TUCSON,31131,DOMESTIC
010581,KALIL BOTTLING TUCSON,505623,DOMESTIC
010004,1911 CIDER HOUSE,481932,DOMESTIC
010209,CAROLINA BEVERAGE,479461,DOMESTIC
010209,CAROLINA BEVERAGE,349958,DOMESTIC
010209,CAROLINA BEVERAGE,496739,DOMESTIC
010209,CAROLINA BEVERAGE,34999,DOMESTIC
010209,CAROLINA BEVERAGE,38199,DOMESTIC
010209,CAROLINA BEVERAGE,38738,DOMESTIC
010209,CAROLINA BEVERAGE,30138,DOMESTIC
010209,CAROLINA BEVERAGE,493280,DOMESTIC
010005,2 SP BREWING,485685,DOMESTIC
010957,SIERRA NEVADA MILLS RIVER,406502,DOMESTIC
010006,21ST AMENDMENT BREWERY SAN FRANCISCO,527671,DOMESTIC
010006,21ST AMENDMENT BREWERY SAN FRANCISCO,483743,DOMESTIC
010006,21ST AMENDMENT BREWERY SAN FRANCISCO,536569,DOMESTIC
010006,21ST AMENDMENT BREWERY SAN FRANCISCO,524411,DOMESTIC
010006,21ST AMENDMENT BREWERY SAN FRANCISCO,594937,DOMESTIC
010812,PEPSI PHOENIX,499235,DOMESTIC
010314,COCA COLA SANDSTON,485124,DOMESTIC
010072,AZPACK CANNING,207116,DOMESTIC
010072,AZPACK CANNING,164371,DOMESTIC
010072,AZPACK CANNING,479795,DOMESTIC
010072,AZPACK CANNING,537449,DOMESTIC
010072,AZPACK CANNING,518504,DOMESTIC
010072,AZPACK CANNING,447988,DOMESTIC
010072,AZPACK CANNING,297625,DOMESTIC
010072,AZPACK CANNING,365712,DOMESTIC
010072,AZPACK CANNING,209162,DOMESTIC
010072,AZPACK CANNING,455013,DOMESTIC
010072,AZPACK CANNING,517472,DOMESTIC
010072,AZPACK CANNING,483920,DOMESTIC
010072,AZPACK CANNING,517341,DOMESTIC
010072,AZPACK CANNING,508664,DOMESTIC
010072,AZPACK CANNING,553254,DOMESTIC
010072,AZPACK CANNING,539137,DOMESTIC
010072,AZPACK CANNING,541860,DOMESTIC
010072,AZPACK CANNING,536964,DOMESTIC
010072,AZPACK CANNING,508736,DOMESTIC
010072,AZPACK CANNING,519030,DOMESTIC
010072,AZPACK CANNING,490880,DOMESTIC
010072,AZPACK CANNING,505586,DOMESTIC
010072,AZPACK CANNING,529764,DOMESTIC
010072,AZPACK CANNING,141680,DOMESTIC
010072,AZPACK CANNING,555006,DOMESTIC
010072,AZPACK CANNING,551187,DOMESTIC
010072,AZPACK CANNING,537721,DOMESTIC
010072,AZPACK CANNING,532171,DOMESTIC
010072,AZPACK CANNING,547233,DOMESTIC
010072,AZPACK CANNING,554484,DOMESTIC
010020,ABITA BREWING,64899,DOMESTIC
010266,COCA COLA BALTIMORE,486274,DOMESTIC
010007,3 DAUGHTERS BREWING,358731,DOMESTIC
010309,COCA COLA RICHMOND,540162,DOMESTIC
010310,COCA COLA RICHMOND,497011,DOMESTIC
010310,COCA COLA RICHMOND,506562,DOMESTIC
010008,4 HANDS BREWING COMPANY,538767,DOMESTIC
010040,AMERICAS TECATE,497900,INTERNATIONAL
010009,4 NOSES BREWING,404507,DOMESTIC
010027,ALCHEMY CANNING,439187,DOMESTIC
010027,ALCHEMY CANNING,491372,DOMESTIC
010027,ALCHEMY CANNING,553262,DOMESTIC
010010,638 BREWING DBA FOOTHILLS,308769,DOMESTIC
010102,BEACHWOOD BREWING,538513,DOMESTIC
010011,903 BREWERS,470168,DOMESTIC
011048,TRILLIUM BREWING CANTON,492439,DOMESTIC
011048,TRILLIUM BREWING CANTON,496165,DOMESTIC
010012,A LA FUT,524269,INTERNATIONAL
010699,MODERN TIMES BEER,519540,DOMESTIC
010699,MODERN TIMES BEER,537529,DOMESTIC
010699,MODERN TIMES BEER,539145,DOMESTIC
010013,A SUNDOWN ENTERPRISE PHOENIX,498953,DOMESTIC
010282,COCA COLA DOWNEY,233402,DOMESTIC
010282,COCA COLA DOWNEY,512727,DOMESTIC
010282,COCA COLA DOWNEY,515637,DOMESTIC
010014,AB CARTERSVILLE,30357,
010671,MASS BAY BREWING BOSTON,187266,DOMESTIC
010015,AB COLUMBUS,30234,
010284,COCA COLA EAST HARTFORD,518643,DOMESTIC
010284,COCA COLA EAST HARTFORD,89851,DOMESTIC
010284,COCA COLA EAST HARTFORD,513105,DOMESTIC
010016,AB JACKSONVILLE,30365,
010295,COCA COLA LONDONDERRY,518660,DOMESTIC
010295,COCA COLA LONDONDERRY,32387,DOMESTIC
010017,AB MERRIMACK,30314,
010400,DOGFISH HEAD CRAFT BREWERY,491129,DOMESTIC
010400,DOGFISH HEAD CRAFT BREWERY,549976,DOMESTIC
010400,DOGFISH HEAD CRAFT BREWERY,515565,DOMESTIC
010018,AB WILLIAMSBURG,30226,
010123,BERNER FOODS FREEPORT,407943,DOMESTIC
010123,BERNER FOODS FREEPORT,41427,DOMESTIC
010123,BERNER FOODS FREEPORT,528243,DOMESTIC
010123,BERNER FOODS FREEPORT,512250,DOMESTIC
010123,BERNER FOODS FREEPORT,40133,DOMESTIC
010123,BERNER FOODS FREEPORT,37663,DOMESTIC
010123,BERNER FOODS FREEPORT,551574,DOMESTIC
010123,BERNER FOODS FREEPORT,552551,DOMESTIC
010123,BERNER FOODS FREEPORT,549191,DOMESTIC
010123,BERNER FOODS FREEPORT,39925,DOMESTIC
